iter	Passed	Remaining
0	256	25375
1	401	19681
2	513	16595
3	632	15179
4	748	14213
5	857	13441
6	969	12885
7	1080	12430
8	1197	12110
9	1303	11733
10	1416	11459
11	1530	11220
12	1634	10937
13	1748	10738
14	1857	10525
15	1971	10351
16	2084	10178
17	2192	9986
18	2306	9832
19	2422	9688
20	2590	9744
21	2699	9569
22	2806	9395
23	2923	9258
24	3039	9118
25	3148	8962
26	3266	8830
27	3384	8701
28	3495	8558
29	3615	8437
30	3727	8295
31	3835	8150
32	3945	8010
33	4062	7885
34	4166	7737
35	4278	7606
36	4385	7466
37	4501	7344
38	4610	7210
39	4720	7080
40	4832	6953
41	4940	6823
42	5051	6695
43	5156	6562
44	5273	6445
45	5389	6327
46	5499	6201
47	5612	6079
48	5724	5958
49	5836	5836
50	5946	5713
51	6062	5596
52	6169	5470
53	6281	5350
54	6399	5235
55	6513	5117
56	6620	4994
57	6730	4874
58	6836	4750
59	6952	4634
60	7057	4512
61	7170	4394
62	7277	4274
63	7392	4158
64	7507	4042
65	7619	3925
66	7727	3806
67	7839	3688
68	7945	3569
69	8053	3451
70	8168	3336
71	8281	3220
72	8400	3107
73	8512	2990
74	8627	2875
75	8732	2757
76	8847	2642
77	8960	2527
78	9069	2410
79	9185	2296
80	9307	2183
81	9425	2068
82	9541	1954
83	9651	1838
84	9758	1722
85	9864	1605
86	9977	1490
87	10092	1376
88	10199	1260
89	10306	1145
90	10411	1029
91	10528	915
92	10636	800
93	10744	685
94	10854	571
95	10964	456
96	11068	342
97	11172	228
98	11285	113
99	11396	0
