iter	Passed	Remaining
0	781	780232
1	1363	680500
2	1986	660180
3	2577	641850
4	3232	643251
5	3869	641050
6	4509	639647
7	5114	634225
8	5740	632073
9	6339	627593
10	6937	623758
11	7559	622395
12	8220	624146
13	8844	622882
14	9378	615877
15	9987	614208
16	10512	607885
17	11036	602103
18	11593	598591
19	12170	596363
20	12721	593048
21	13273	590070
22	13897	590362
23	14401	585664
24	15009	585381
25	15557	582791
26	16148	581943
27	16600	576260
28	17234	577049
29	17729	573269
30	18316	572532
31	18814	569150
32	19373	567714
33	19927	566167
34	20446	563747
35	20985	561951
36	21496	559497
37	22046	558112
38	22612	557204
39	23133	555205
40	23719	554813
41	24248	553096
42	24771	551305
43	25251	548656
44	25779	547088
45	26339	546268
46	26881	545060
47	27337	542194
48	27888	541269
49	28428	540140
50	28957	538844
51	29509	537974
52	29955	535247
53	30516	534595
54	31023	533032
55	31469	530489
56	31922	528116
57	32487	527647
58	33016	526580
59	33534	525375
60	34041	524022
61	34546	522650
62	35004	520616
63	35484	518963
64	35956	517219
65	36537	517062
66	37053	515981
67	37567	514895
68	38131	514505
69	38787	515321
70	39247	513529
71	39837	513463
72	40453	513705
73	40949	512422
74	41546	512402
75	42105	511913
76	42558	510145
77	43176	510370
78	43795	510574
79	44236	508718
80	44782	508091
81	45339	507579
82	45901	507134
83	46454	506578
84	46974	505664
85	47448	504281
86	47962	503327
87	48404	501644
88	48866	500200
89	49326	498746
90	49878	498236
91	50352	496956
92	50982	497216
93	51471	496094
94	51952	494919
95	52523	494595
96	53100	494331
97	53700	494268
98	54294	494132
99	54806	493259
100	55308	492297
101	55843	491645
102	56400	491175
103	56962	490754
104	57605	491018
105	58194	490810
106	58806	490787
107	59351	490196
108	60038	490773
109	60610	490391
110	61086	489245
111	61670	488958
112	62222	488421
113	62779	487917
114	63365	487635
115	64042	488048
116	64607	487590
117	65121	486753
118	65721	486560
119	66189	485389
120	66750	484904
121	67277	484180
122	67724	482881
123	68299	482504
124	68763	481346
125	69455	481781
126	70032	481407
127	70525	480453
128	71101	480070
129	71563	478922
130	72168	478737
131	72693	478015
132	73369	478280
133	73823	477096
134	74529	477537
135	74962	476233
136	75507	475643
137	76018	474842
138	76554	474198
139	77083	473510
140	77705	473395
141	78238	472736
142	78823	472388
143	79382	471886
144	79938	471363
145	80604	471479
146	81086	470519
147	81632	469941
148	82091	468860
149	82554	467806
150	83219	467904
151	83749	467232
152	84223	466256
153	84842	466083
154	85406	465600
155	85945	464989
156	86474	464321
157	86951	463376
158	87488	462753
159	88007	462041
160	88492	461148
161	89176	461293
162	89663	460421
163	90184	459723
164	90713	459066
165	91180	458098
166	91777	457787
167	92247	456847
168	92693	455789
169	93381	455919
170	93846	454961
171	94362	454256
172	94828	453313
173	95357	452671
174	95986	452508
175	96560	452077
176	97123	451596
177	97664	451013
178	98232	450552
179	98827	450214
180	99276	449213
181	99756	448358
182	100214	447405
183	100771	446901
184	101273	446151
185	101799	445511
186	102372	445074
187	103012	444925
188	103480	444034
189	104090	443756
190	104651	443260
